id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
3033,706,606,701,801,801,unk,unk,1,Latino,F
9450,unk,unk,unk,801,unk,unk,unk,1,White,M
8796,unk,unk,701,801,804,unk,unk,1,Black,M
326,701,601,701,801,801,unk,unk,1,White,M
113,701,601,701,801,801,unk,unk,1,unk,M
286,701,601,701,801,801,unk,unk,1,unk,F
632,701,601,701,801,801,unk,unk,1,White,F
337,701,601,701,801,801,unk,unk,1,White,M
71,701,601,701,801,801,unk,unk,1,White,M
59,701,601,701,801,801,unk,unk,1,White,M
412,701,601,701,801,801,unk,unk,1,White,F
685,701,601,701,801,801,unk,unk,1,White,F
9457,unk,unk,unk,801,801,unk,unk,1,unk,F
4077,701,604,701,801,801,unk,unk,1,Other,F
8039,701,unk,701,801,801,unk,unk,1,White,F
669,701,601,701,801,801,unk,unk,1,unk,F
9456,unk,unk,unk,801,801,unk,unk,1,White,M
188,701,601,701,801,801,unk,unk,1,White,M
9447,unk,unk,unk,801,801,unk,unk,1,White,F
177,701,601,701,801,801,unk,unk,1,White,F
484,701,601,701,801,801,unk,unk,1,White,F
270,701,601,701,801,801,unk,unk,1,White,M
488,701,601,701,801,801,unk,unk,1,White,F
273,701,601,701,801,801,unk,unk,1,White,F
8046,701,unk,701,801,801,unk,unk,1,White,M
408,701,601,701,801,801,unk,unk,1,White,F
492,701,601,701,801,801,unk,unk,1,White,F
327,701,601,701,801,801,unk,unk,1,White,M
119,701,601,701,801,801,unk,unk,1,White,M
9455,unk,unk,unk,801,801,unk,unk,1,White,M
342,701,601,701,801,801,unk,unk,1,White,M
118,701,601,701,801,801,unk,unk,1,White,M
628,701,601,701,801,801,unk,unk,1,White,M
192,701,601,701,801,801,unk,unk,1,White,F
660,701,601,701,801,801,unk,unk,1,White,M
401,701,601,701,801,801,unk,unk,1,White,F
56,701,601,701,801,801,unk,unk,1,White,M
9446,unk,unk,unk,801,unk,unk,unk,1,White,F
664,701,601,701,801,801,unk,unk,1,White,M
103,701,601,701,801,801,unk,unk,1,Black,F
629,701,601,701,801,801,unk,unk,1,Other,F
334,701,601,701,801,801,unk,unk,1,White,F
6,701,601,701,801,801,unk,unk,1,White,M
483,701,601,701,801,801,unk,unk,1,White,F
637,701,601,701,801,801,unk,unk,1,White,M
17,701,601,701,801,801,unk,unk,1,unk,F
323,701,601,701,801,801,unk,unk,1,White,M
289,701,601,701,801,801,unk,unk,1,Black,F
66,701,601,701,801,801,unk,unk,1,White,F
405,701,601,701,801,801,unk,unk,1,White,M
491,701,601,701,801,801,unk,unk,1,Black,F
329,701,601,701,801,801,unk,unk,1,White,M
8045,701,unk,701,801,801,unk,unk,1,Other,M
9061,unk,unk,701,801,801,unk,unk,1,unk,M
404,701,601,701,801,801,unk,unk,1,Black,M
402,701,601,701,801,801,unk,unk,1,White,F
9454,unk,unk,unk,801,801,unk,unk,1,White,M
4025,704,604,704,801,801,unk,unk,1,White,M
471,701,601,701,801,801,unk,unk,1,White,F
8098,unk,unk,701,801,801,unk,unk,1,Other,F
64,701,601,701,801,801,unk,unk,1,White,M
640,701,601,701,801,801,unk,unk,1,unk,M
9451,unk,unk,unk,801,801,unk,unk,1,Other,M
268,701,601,701,801,801,unk,unk,1,Black,F
415,701,601,701,801,801,unk,unk,1,White,F
3859,701,604,701,801,801,unk,unk,1,White,M
691,701,601,701,801,801,unk,unk,1,White,M
46,701,601,701,801,801,unk,unk,1,Black,F
474,701,601,701,801,801,unk,unk,1,White,F
98,701,601,701,801,801,unk,unk,1,Black,M
315,701,601,701,801,801,unk,unk,1,White,M
341,701,601,701,801,801,unk,unk,1,White,M
285,701,601,701,801,801,unk,unk,1,White,F
319,701,601,701,801,801,unk,unk,1,White,F
58,701,601,701,801,801,unk,unk,1,White,F
4057,701,604,701,801,806,unk,unk,1,White,F
182,701,601,701,801,801,unk,unk,1,White,F
53,701,601,701,801,801,unk,unk,1,White,F
686,701,601,701,801,801,unk,unk,1,Black,F
51,701,601,701,801,801,unk,unk,1,White,M
399,701,601,701,801,801,unk,unk,1,unk,M
661,701,601,701,801,801,unk,unk,1,Black,F
490,701,601,701,801,801,unk,unk,1,White,F
190,701,601,701,801,801,unk,unk,1,White,M
281,701,601,701,801,801,unk,unk,1,Black,F
333,701,601,701,801,801,unk,unk,1,White,F
403,701,601,701,801,801,unk,unk,1,White,M
277,701,601,701,801,801,unk,unk,1,Black,M
694,701,601,701,801,801,unk,unk,1,White,M
9036,unk,unk,701,801,801,unk,unk,1,unk,F
178,701,601,701,801,801,unk,unk,1,White,M
61,701,601,701,801,801,unk,unk,1,White,M
330,701,601,701,801,801,unk,unk,1,White,F
320,701,601,701,801,801,unk,unk,1,White,F
485,701,601,701,801,801,unk,unk,1,White,F
480,701,601,701,801,801,unk,unk,1,White,F
9638,unk,unk,unk,801,801,unk,unk,1,Other,M
55,701,601,701,801,801,unk,unk,1,Other,F
179,701,601,701,801,801,unk,unk,1,Black,M
476,701,601,701,801,801,unk,unk,1,White,F
267,701,601,701,801,801,unk,unk,1,Other,F
48,701,601,701,801,801,unk,unk,1,White,F
494,701,601,701,801,801,unk,unk,1,Black,F
8042,701,unk,701,801,801,unk,unk,1,White,F
475,701,601,701,801,801,unk,unk,1,Black,F
9461,unk,unk,unk,801,unk,unk,unk,1,White,M
69,701,601,701,801,801,unk,unk,1,White,M
413,701,601,701,801,801,unk,unk,1,Latino,M
340,701,601,701,801,801,unk,unk,1,White,F
410,701,601,701,801,804,unk,unk,1,White,F
651,801,701,801,801,801,unk,unk,2,unk,M
481,701,601,701,801,801,unk,unk,1,unk,F
631,701,601,701,801,801,unk,unk,1,Black,F
116,701,601,701,801,801,unk,unk,1,White,M
9463,unk,unk,unk,801,801,unk,unk,1,unk,M
318,701,601,701,801,801,unk,unk,1,White,F
411,701,601,701,801,801,unk,unk,1,Black,M
276,701,601,701,801,801,unk,unk,1,White,M
638,701,601,701,801,801,unk,unk,1,White,F
393,701,601,701,801,801,unk,unk,1,White,F
8408,704,unk,701,801,801,unk,unk,1,Other,M
185,701,601,701,801,801,unk,unk,1,White,M
407,701,601,701,801,801,unk,unk,1,White,M
499,701,601,701,801,801,unk,unk,1,White,F
3954,701,604,701,801,801,unk,unk,1,White,F
8035,701,unk,701,801,801,unk,unk,1,White,F
9462,unk,unk,unk,801,806,unk,unk,1,White,M
14,701,601,701,801,801,unk,unk,1,White,M
109,701,601,701,801,801,unk,unk,1,White,M
316,701,601,701,801,801,unk,unk,1,White,F
8052,801,unk,801,801,801,unk,unk,2,unk,M
60,701,601,701,801,801,unk,unk,1,unk,F
180,701,601,701,801,801,unk,unk,1,White,M
336,701,601,701,801,801,unk,unk,1,White,M
279,701,601,701,801,801,unk,unk,1,Black,F
641,701,601,701,801,801,unk,unk,1,White,F
472,701,601,701,801,801,unk,unk,1,White,F
395,701,601,701,801,801,unk,unk,1,White,M
3943,704,604,704,801,801,unk,unk,1,Latino,F
1523,701,601,701,801,801,unk,unk,1,unk,M
274,701,601,701,801,801,unk,unk,1,Black,M
662,701,601,701,801,801,unk,unk,1,White,F
501,701,601,701,801,801,unk,unk,1,White,F
636,701,601,701,801,801,unk,unk,1,White,F
117,701,601,701,801,801,unk,unk,1,White,M
655,701,601,701,801,801,unk,unk,1,Black,F
657,701,601,701,801,801,unk,unk,1,White,F
19,701,601,701,801,801,unk,unk,1,White,M
18,701,601,701,801,801,unk,unk,1,unk,M
70,701,601,701,801,801,unk,unk,1,White,M
269,701,601,701,801,801,unk,unk,1,White,M
489,701,601,701,801,801,unk,unk,1,White,F
649,701,601,701,801,801,unk,unk,1,Black,M
467,701,601,701,801,801,unk,unk,1,unk,F
9444,unk,unk,unk,801,801,unk,unk,1,unk,M
335,701,601,701,801,801,unk,unk,1,White,F
2437,702,602,702,801,801,unk,unk,1,unk,F
497,701,601,701,801,801,unk,unk,1,White,M
328,701,601,701,801,801,unk,unk,1,White,M
470,701,601,701,801,801,unk,unk,1,White,F
1522,unk,601,unk,801,unk,unk,unk,1,White,M
4035,704,604,704,801,801,unk,unk,1,White,F
68,701,601,701,801,801,unk,unk,1,White,M
398,701,601,701,801,801,unk,unk,1,White,M
8033,701,unk,701,801,801,unk,unk,1,White,F
104,701,601,701,801,801,unk,unk,1,White,M
9459,unk,unk,unk,801,unk,unk,unk,1,White,M
52,701,601,701,801,801,unk,unk,1,White,F
111,701,601,701,801,801,unk,unk,1,Black,M
49,701,601,701,801,801,unk,unk,1,White,F
62,701,601,701,801,801,unk,unk,1,White,M
8794,unk,unk,701,801,unk,unk,unk,1,Black,M
16,701,601,701,801,801,unk,unk,1,unk,M
115,701,601,701,801,801,unk,unk,1,White,M
9443,unk,unk,unk,801,801,unk,unk,1,unk,M
194,701,601,701,801,801,unk,unk,1,White,F
175,701,601,701,801,801,unk,unk,1,Latino,M
500,701,601,701,801,801,unk,unk,1,White,F
469,701,601,701,801,801,unk,unk,1,White,F
2388,702,602,702,802,802,unk,unk,1,White,F
2397,702,602,702,802,802,unk,unk,1,White,F
2384,702,602,702,802,802,unk,unk,1,Latino,F
2413,702,602,702,802,802,unk,unk,1,Black,F
2375,702,602,702,802,802,unk,unk,1,Latino,F
2419,702,602,702,802,802,unk,unk,1,Latino,M
466,702,601,702,802,802,unk,unk,1,White,F
2411,702,602,702,802,802,unk,unk,1,White,M
2366,702,602,702,802,802,unk,unk,1,Latino,F
2423,702,602,702,802,802,unk,unk,1,unk,M
2439,702,602,702,802,802,unk,unk,1,Black,M
2431,702,602,702,802,802,unk,unk,1,White,F
2440,702,602,702,802,802,unk,unk,1,White,M
2429,702,602,702,802,802,unk,unk,1,White,M
2369,702,602,702,802,802,unk,unk,1,unk,M
2412,702,602,702,802,802,unk,unk,1,White,F
634,702,601,702,802,802,unk,unk,1,unk,M
2459,702,602,702,802,802,unk,unk,1,Latino,M
2408,702,602,702,802,802,unk,unk,1,White,F
2380,702,602,702,802,802,unk,unk,1,White,M
2389,702,602,702,802,802,unk,unk,1,White,F
2387,702,602,702,802,802,unk,unk,1,White,M
2409,702,602,702,802,802,unk,unk,1,White,F
2457,702,602,13,802,802,unk,unk,1,White,M
2449,702,602,702,802,802,unk,unk,1,Latino,F
2382,702,602,702,802,802,unk,unk,1,White,M
2452,702,602,702,802,802,unk,unk,1,Other,F
2456,702,602,702,802,802,unk,unk,1,Latino,F
2367,702,602,702,802,802,unk,unk,1,Black,F
2371,702,602,702,802,802,unk,unk,1,White,M
2405,unk,602,unk,802,802,unk,unk,1,White,F
2407,702,602,702,802,802,unk,unk,1,White,M
2395,702,602,702,802,802,unk,unk,1,Latino,M
2421,702,602,702,802,802,unk,unk,1,Latino,M
2435,702,602,702,802,802,unk,unk,1,unk,M
9687,unk,unk,unk,802,802,unk,unk,1,White,M
2396,702,602,702,802,802,unk,unk,1,White,M
2368,702,602,702,802,802,unk,unk,1,Black,F
2377,702,602,702,802,802,unk,unk,1,Black,F
2410,702,602,702,802,802,unk,unk,1,White,M
2402,702,602,702,802,802,unk,unk,1,Other,F
2415,702,602,702,802,802,unk,unk,1,Latino,M
3318,706,706,706,802,802,unk,unk,2,Other,F
2446,702,602,702,802,802,unk,unk,1,Black,M
2374,702,602,702,802,802,unk,unk,1,Latino,F
2393,702,602,702,802,802,unk,unk,1,White,F
2379,702,602,702,802,unk,unk,unk,1,White,M
2432,702,602,702,802,802,unk,unk,1,Other,F
2425,702,602,702,802,802,unk,unk,1,Other,M
2364,702,602,702,802,802,unk,unk,1,Black,M
2376,702,602,702,802,802,unk,unk,1,White,M
2401,702,602,702,802,802,unk,unk,1,White,F
2372,702,602,702,802,802,unk,unk,1,White,F
2418,702,602,702,802,802,unk,unk,1,Other,M
2403,702,602,702,802,802,unk,unk,1,White,F
2365,702,602,702,802,802,unk,unk,1,Latino,M
2453,702,602,702,802,802,unk,unk,1,Latino,M
2406,702,602,702,802,802,unk,unk,1,White,F
2454,702,602,702,802,802,unk,unk,1,Latino,F
2445,702,602,702,802,802,unk,unk,1,Latino,F
2399,702,602,702,802,802,unk,unk,1,Latino,F
2427,702,602,702,802,802,unk,unk,1,Latino,M
2433,702,602,702,802,802,unk,unk,1,White,M
2373,702,602,702,802,802,unk,unk,1,Latino,M
2404,702,602,702,802,802,unk,unk,1,White,M
2414,702,602,702,802,802,unk,unk,1,White,F
2394,702,602,702,802,802,unk,unk,1,White,F
2391,702,602,702,802,802,unk,unk,1,Latino,F
2424,702,602,702,802,802,unk,unk,1,unk,M
2455,702,602,702,802,802,unk,unk,1,Latino,M
2442,702,602,702,802,802,unk,unk,1,Other,M
2436,702,602,702,802,802,unk,unk,1,Black,F
2381,702,602,702,802,802,unk,unk,1,White,M
8061,702,unk,702,802,802,unk,unk,1,Latino,M
2443,702,602,702,802,802,unk,unk,1,Black,M
2370,702,602,702,802,802,unk,unk,1,White,M
8060,702,unk,702,802,802,unk,unk,1,Latino,M
2458,702,602,702,802,802,unk,unk,1,White,F
2386,702,602,702,802,802,unk,unk,1,unk,M
2416,702,602,702,802,802,unk,unk,1,Latino,M
2428,702,602,702,802,802,unk,unk,1,White,M
2438,702,602,702,802,802,unk,unk,1,Latino,F
2426,702,602,702,802,802,unk,unk,1,Latino,F
2461,702,602,702,802,802,unk,unk,1,White,M
2390,702,602,702,802,802,unk,unk,1,White,F
2400,702,602,702,802,802,unk,unk,1,White,F
2430,702,602,702,802,802,unk,unk,1,Black,F
2448,702,602,702,802,802,unk,unk,1,Latino,M
2385,702,602,702,802,802,unk,unk,1,Latino,M
2450,702,602,702,802,802,unk,unk,1,White,M
2447,702,602,702,802,802,unk,unk,1,White,M
287,702,601,702,802,unk,unk,unk,1,White,M
2441,702,602,702,802,802,unk,unk,1,Latino,M
3882,704,604,704,804,804,unk,unk,1,White,F
4073,704,604,704,804,804,unk,unk,1,Black,F
9331,unk,unk,unk,804,804,unk,unk,1,White,M
3851,704,604,704,804,804,unk,unk,1,Black,F
4084,704,604,704,804,804,unk,unk,1,White,F
9628,unk,unk,unk,804,804,unk,unk,1,White,M
4072,704,604,704,804,804,unk,unk,1,White,F
3930,704,604,704,804,804,unk,unk,1,White,F
4013,704,604,704,804,804,unk,unk,1,White,M
4014,704,604,704,804,804,unk,unk,1,Other,F
4010,704,604,704,804,804,unk,unk,1,White,F
4040,704,604,704,804,804,unk,unk,1,Black,M
9324,unk,unk,unk,804,804,unk,unk,1,White,F
4094,704,604,704,804,804,unk,unk,1,Black,M
3924,704,604,704,804,804,unk,unk,1,Black,F
9316,unk,unk,unk,804,804,unk,unk,1,Black,F
4089,704,604,704,804,804,unk,unk,1,White,F
8099,unk,unk,701,804,804,unk,unk,1,Black,F
3999,704,604,704,804,804,unk,unk,1,Black,M
4104,704,604,704,804,804,unk,unk,1,Other,M
9323,unk,unk,unk,804,804,unk,unk,1,White,F
2970,704,606,704,804,804,unk,unk,1,White,F
3965,704,604,704,804,804,unk,unk,1,Other,F
3918,704,604,704,804,804,unk,unk,1,Other,F
3899,704,604,704,804,804,unk,unk,1,White,F
4092,704,604,704,804,804,unk,unk,1,White,M
3991,704,604,704,804,804,unk,unk,1,White,F
9035,unk,unk,704,804,804,unk,unk,1,White,F
8375,704,unk,704,804,804,unk,unk,1,unk,M
3932,704,604,704,804,804,unk,unk,1,White,F
8372,704,unk,704,804,804,unk,unk,1,White,M
3895,704,604,704,804,804,unk,unk,1,White,F
